1 => cctv1 | CCTV1
1969 => 1969 | CHC影迷电影
197 => 197 | 江苏新闻
1971 => 1971 | 贵州生态
198 => 198 | 江苏教育
1984 => 1984 | 四川乡村
1985 => 1985 | 重庆社会与法
1986 => 1986 | 重庆红岩文化
1987 => 1987 | 重庆新农村
1988 => 1988 | 重庆红叶
199 => 199 | 江苏体育休闲
1990 => 1990 | 海南自贸
1991 => 1991 | 海南文旅
1992 => 1992 | 海南少儿
1995 => 1995 | 大湾区卫视
1996 => 1996 | 广东民生
2 => cctv2 | CCTV2
20 => 20 | CGTN
20 => 20 | CGTN纪录
200 => 200 | CNC中文
2002 => 2002 | 湖南爱晚
201 => 201 | CNC英文
2011 => 2011 | 江西都市
2012 => 2012 | 江西经济
2014 => 2014 | 江西公共
2015 => 2015 | 江西新闻
2019 => 2019 | 江西少儿
202 => 202 | 江西都市
2020 => 2020 | 福建综合
2021 => 2021 | 福建公共
2022 => 2022 | 福建新闻
2023 => 2023 | 福建电视剧
2024 => 2024 | 福建旅游
2025 => 2025 | 福建经济
2026 => 2026 | 福建体育
2027 => 2027 | 福建少儿
2029 => 2029 | 安徽综艺体育
203 => 203 | 江西经济生活
2033 => 2033 | 黑龙江农业科教
2034 => 2034 | 吉视都市
2035 => 2035 | 吉视影视
2036 => 2036 | 吉视乡村
2037 => 2037 | 吉视综艺文化
2042 => 2042 | 河北文旅公共
2043 => 2043 | 河北三农
2045 => 2045 | 天津教育
2046 => 2046 | 山西经济与科技
2047 => 2047 | 山西影视
2048 => 2048 | 山西社会与法治
2049 => 2049 | 山西文体生活
205 => 205 | 江西公共农业
2051 => 2051 | 吉视生活
206 => 206 | 江西少儿
207 => 207 | 江西新闻
208 => 208 | 江西教育
209 => 209 | 农林卫视
21 => 21 | CGTN
21 => 21 | 海峡卫视
22 => 22 | CCTV4EUO
22 => 22 | CGTN法语
23 => 23 | CCTV4AME
23 => 23 | CGTN俄语
24 => 24 | CGTN西语
25 => 25 | CGTN阿语
26 => 26 | 中国天气
27 => 27 | CETV1
27 => 27 | 湖南卫视
28 => 28 | CETV2
28 => 28 | 浙江卫视
29 => 29 | CETV4
29 => 29 | 江苏卫视
3 => cctv3 | CCTV3
30 => 30 | 北京卫视
30 => 30 | 福建综合
31 => 31 | 东南卫视
31 => 31 | 东方卫视
32 => 32 | 安徽卫视
32 => 32 | 福建乡村振兴
33 => 33 | 广东卫视
33 => 33 | 福建新闻
334 => 334 | 天津文艺
335 => 335 | 天津影视
336 => 336 | 天津都市频道
337 => 337 | 天津体育
34 => 34 | 深圳卫视
34 => 34 | 福建电视剧
340 => 340 | 天津新闻
344 => 344 | 江苏城市
345 => 345 | 江苏影视
347 => 347 | 江苏休闲体育
348 => 348 | 优漫卡通
35 => 35 | 福建旅游
351 => 351 | 江苏综艺
36 => 36 | 福建经济
36 => 36 | 辽宁卫视
368322 => 368322 | PopC
368323 => 368323 | 娛樂新聞台
368325 => 368325 | 千禧經典台
368326 => 368326 | tvN
368327 => 368327 | 半島電視台英語頻道
368328 => 368328 | myTV SUPER直播足球4台
368329 => 368329 | 創世電視
368330 => 368330 | 中國電影頻道
368332 => 368332 | ROCK綜藝娛樂
368333 => 368333 | Animax
368334 => 368334 | myTV SUPER 18台
368335 => 368335 | 亞洲劇台
368336 => 368336 | Nickelodeon
368337 => 368337 | NHK World-Japan
368338 => 368338 | 鳳凰衛視中文台
368339 => 368339 | Thrill
368340 => 368340 | 東方衛視國際頻道
368341 => 368341 | Mezzo Live HD
368342 => 368342 | France 24
368343 => 368343 | 鳳凰衛視資訊台
368344 => 368344 | 華語劇台
368345 => 368345 | myTV SUPER直播足球3台
368346 => 368346 | CGTN (中國環球電視網)英語頻道
368347 => 368347 | CGTN (中國環球電視網)記錄頻道
368348 => 368348 | 美亞電影台
368350 => 368350 | KIX
368351 => 368351 | 黃金華劇台
368353 => 368353 | 戲曲台
368355 => 368355 | Love Nature HD
368356 => 368356 | Global Trekker
368357 => 368357 | 無線衛星亞洲台
368358 => tvbjade | 黃金翡翠台
368359 => 368359 | 無綫新聞台
368361 => 368361 | TVB Plus
368362 => 368362 | ROCK Action
368363 => 368363 | 無線衛星新聞台
368364 => 368364 | Love Nature 4K
368365 => 368365 | AXN
368366 => tvbjade | 翡翠台
368367 => 368367 | Nick Jr
368368 => 368368 | ZooMoo
368369 => tvbpearl | 明珠台
368370 => 368370 | Arirang TV
368371 => 368371 | 天映經典頻道
368372 => 368372 | 鳳凰衛視香港台
368373 => 368373 | DW
368374 => 368374 | FashionBox
368375 => 368375 | 中央電視台綜合頻道 (港澳版)
368376 => 368376 | SUPER FREE
368377 => 368377 | 亞洲新聞台
368378 => 368378 | 測試頻道
368379 => 368379 | myTV SUPER直播足球5台
368380 => 368380 | SUPER Kids Channel
368381 => 368381 | 粵語片台
368550 => 368550 | 港台电视31
368551 => 368551 | 港台电视32
368552 => 368552 | 港台电视33
368553 => 368553 | 港台电视34
368554 => 368554 | 港台电视35
37 => 37 | 旅游卫视
37 => 37 | 福建文体
370137 => 370137 | 民視第一台
370138 => 370138 | 民視台灣台
370139 => 370139 | 民視
370140 => 370140 | 大愛電視
370141 => 370141 | 中視
370143 => 370143 | 華視
370144 => 370144 | 三立綜合台
370145 => 370145 | 客家電視台
370146 => 370146 | 八大綜藝台
370148 => 370148 | TVBS精采台
370149 => 370149 | 愛爾達娛樂台
370150 => 370150 | 靖天綜合台
370151 => 370151 | 靖天日本台
370152 => 370152 | ARIRANG阿里郎頻道
370153 => 370153 | Global Trekker
370154 => 370154 | 原住民族電視台
370156 => 370156 | 東森購物四台
370157 => 370157 | LiveABC互動英語頻道
370158 => 370158 | 達文西頻道
370160 => 370160 | Nick Jr. 兒童頻道
370161 => 370161 | 尼克兒童頻道
370162 => 370162 | DreamWorks 夢工廠動畫
370163 => 370163 | 靖天卡通台
370164 => 370164 | 靖洋卡通Nice Bingo
370167 => 370167 | MOMO親子台
370168 => 370168 | 東森購物一台
370169 => 370169 | 鏡電視新聞台
370170 => 370170 | 東森新聞台
370171 => 370171 | 華視新聞
370172 => 370172 | 民視新聞台
370173 => 370173 | 三立新聞iNEWS
370174 => 370174 | TVBS新聞
370175 => 370175 | 東森財經新聞台
370176 => 370176 | 中視新聞
370177 => 370177 | 中天新聞台
370178 => 370178 | Bloomberg TV
370179 => 370179 | 寰宇新聞台
370181 => 370181 | SBN全球財經台
370184 => 370184 | 東森購物二台
370185 => 370185 | 民視綜藝台
370186 => 370186 | 豬哥亮歌廳秀
370187 => 370187 | 靖天育樂台
370188 => 370188 | KLT-靖天國際台
370189 => 370189 | Nice TV 靖天歡樂台
370190 => 370190 | 靖天資訊台
370192 => 370192 | ROCK Entertainment
370193 => 370193 | Lifetime 娛樂頻道
370194 => 370194 | 電影原聲台CMusic
370195 => 370195 | TRACE Urban
370197 => 370197 | Mezzo Live HD
370198 => 370198 | CLASSICA 古典樂
370199 => 370199 | 東森購物三台
370207 => 370207 | TRACE Sport Stars
370208 => 370208 | 智林體育台
370209 => 370209 | 時尚運動X
370210 => 370210 | 車迷TV
370211 => 370211 | GINX Esports TV
370214 => 370214 | 民視旅遊台
370215 => 370215 | 滾動力rollor
370217 => 370217 | fun探索娛樂台
370218 => 370218 | 幸福空間居家台
370219 => 370219 | Love Nature
370220 => 370220 | History 歷史頻道
370222 => 370222 | 愛爾達生活旅遊台
370223 => 370223 | LUXE TV Channel
370224 => 370224 | TV5MONDE STYLE HD 生活時尚
370226 => 370226 | 公視戲劇
370227 => 370227 | 民視影劇台
370229 => 370229 | HITS頻道
370231 => 370231 | 八大精彩台
370233 => 370233 | 靖天戲劇台
370234 => 370234 | 靖洋戲劇台
370235 => 370235 | CI 罪案偵查頻道
370236 => 370236 | 視納華仁紀實頻道
370238 => 370238 | 金光布袋戲
370239 => 370239 | ROCK Action
370240 => 370240 | 采昌影劇台
370241 => 370241 | 靖天映畫
370242 => 370242 | 靖天電影台
370244 => 370244 | 影迷數位電影台
370245 => 370245 | amc電影台
370246 => 370246 | CinemaWorld
370247 => 370247 | My Cinema Europe HD 我的歐洲電影
370248 => 370248 | 好消息2台
370249 => 370249 | 好消息
370250 => 370250 | 大愛二台
370251 => 370251 | 人間衛視
370252 => 370252 | 半島國際新聞台
370253 => 370253 | CNBC Asia 財經台
370254 => 370254 | DW德國之聲
370255 => 370255 | 國會頻道1
370256 => 370256 | 國會頻道2
370259 => 370259 | 經典電影台
370260 => 370260 | 經典卡通台
370262 => 370262 | 精選動漫台
374123 => 374123 | FRANCE24 英文台
38 => 38 | 山东卫视
38 => 38 | 福建少儿
380 => 380 | 山东齐鲁
381 => 381 | 山东体育休闲
382 => 382 | 山东文旅
383 => 383 | 山东综艺
384 => 384 | 山东生活
385 => 385 | 山东农科
386 => 386 | 山东新闻
387 => 387 | 山东少儿
39 => 39 | 天津卫视
39 => 39 | 海峡卫视
397763 => 397763 | myTV SUPER直播足球2台
398976 => 398976 | myTV SUPER直播足球6台
4 => cctv4 | CCTV4
40 => 40 | 福建教育
40 => 40 | 重庆卫视
408104 => 408104 | 寰宇新聞台灣台
408106 => 408106 | 亞洲旅遊台
